language,tongue twister,translation
Dutch tongbrekers,"Knappe kappers kappen knap, maar de knecht van de knappe kapper kapt nog knapper dan de knappe kapper kappen kan.",
Dutch tongbrekers,- Morgen! - Morgen! - Horloge klaar? - Morgen! - Morgen? - Morgen! - Morgen! - Morgen!," Morning. Morning. Is my watch repaired? Tomorrow. Tomorrow? (Indeed,) tomorrow. Oh, goodbye. Bye bye."
Dutch tongbrekers,Vaders vader vond vier vuile vesten van vier vuile venten., Father's father found four filthy frocks from four filthy fellows.
Dutch tongbrekers,Mientje Mandemakers' mooiste meisje maakte mutsjes met moeders mooiste machientje., Mientje Mandemakers' prettiest daughter made bonnets with mother's nicest machine.
Dutch tongbrekers,"Wie weet waar Willem Wouters woont? Willem Wouters woont wijd weg. Waar westerse wilden wonen, woont Willem Wouters."," Who knows where Willem Wouter lives? Willem Wouters lives far away. Where the wild live in the west, is where Willem Wouters lives."
Dutch tongbrekers,Öliet ieleu oeleu? Watte? Of ieleu oeleu öliet! Zoepn!, Do you oil (lubricate) yourself? What? Whether you do oil yourself! Drink!
Dutch tongbrekers,"Wat een weer weer. Je waait haast van de weg weg. Je kunt beter in het magazijn zijn, met een doosje aardbeien bij je."," What bad weather again. You are almost blown off the road. You would be better off in the storehouse, with a little box of strawberries."
Dutch tongbrekers,Drie dikke drilboren drillen door drie dikke deuren., Three large drilling machines drill through three large doors.
Dutch tongbrekers,"Boterklontje, boterklontje, boterklontje, ...", lump of butter
Dutch tongbrekers,De vliegende vieze vis vliegt de vogel achterna., The dirty flying fish fly after the bird.
Dutch tongbrekers,"Klappertandend kwam Kees Koukleum kolen kopen. Kijk kijk, kakelde kolenkoopman Kuipers. Kees klappertandt! Koud, Kees? Kerel, klaagde Kees. Krakende knieën, klapperende kiezen, compleet knikkende kuiten. Curieuze kou, knikte Kuipers. Koop kolen, knul! Kolen kunnen kou klein krijgen!"," With chattering teeth Kees Chivery came buying coal. Behold, behold, chattered coal-seller Kuipers. Kees chatters his teeth? Cold, Kees? Chap, complained Kees. Cracking knees, chattering molars, completely buckling knees. Curious cold, Kuipers nodded. Buy coal, lad! Coal can fight coldness!"
Dutch tongbrekers,Roverovervallen vallen overal voor. Het valt voor dat bij een roveroverval een rover voorover over een roverval valt. Maar een rover heeft het er wel voor over om bij een roveroverval voorover over een roverval te vallen. Want voor een rover schiet er bij een roveroverval altijd wel wat over!, Robberies occur everywhere. It happens at a robbery that a robber falls forward into a robbertrap. But for a robber is doesn't matter if he falls forward into a robbertrap. Because for the robber at a robbery allways something will remain.
Dutch tongbrekers,Toen zagen zagen zagen zagen zagen zagen zagen zagen zagen zagen.," When saws saw (other) saws saw (yet other) saws, saws saw saws saw saws."
Dutch tongbrekers,Wat een weer weer zei de wasvrouw die aan de was was.," Waht a weather said the maid, who was washing."
Dutch tongbrekers,Azijnzuurhoutenankerkettingsluitingslothoutje," Is a small piece of a ship (wouden) with a long name, found in a nautical museum in The Netherlands. It is used for the anker-chain."
Dutch tongbrekers,Drink geen vermouth als je vermoedt dat je nog ver moet., Do not drink vermouth if you expect to travel far.
Dutch tongbrekers,"Er schreed een snip over 't schip, die sneed met zijn bek 't spek van 't spit. Wie zag er ooit een snip schrijden en met zijn bek 't spek van 't spit snijden, zoals deze snip deed, die over het schip schreed en met zijn bek 't spek van 't spit sneed."," A snipe swooped over the ship, and cut with his beak the bacon from the spit. Whoever saw a snipe swoop and cut the bacon from the spit with his beak, as this snipe did, the one that swooped over the ship and cut the bacon from the spit with his beak."
Dutch tongbrekers,Hazewindhondhalsbandslotsleutelgaatjesmakersleerling, Greyhound's collar lock key-hole maker's apprentice.
Dutch tongbrekers,"Ik lag op haar schoot, en viel in slaap. Ik lag op haar, schoot, en viel in slaap."," I was laying on her lap, and fell asleep. I was laying on her, shot, and fell asleep."
Dutch tongbrekers,"Arbeid adelt, maar adel arbeidt niet."," Labour enobles, but nobility doesn't labour."
Dutch tongbrekers,"Pasta poor na? ""Joo pa, da poor past!"," Does this pair fit you now? ""Yes, dad, this pair fits"
Dutch tongbrekers,Als achter vliegensvlug vliegende vliegensvlugge vliegen vliegensvlug vliegende vliegensvlugge vliegen vliegen vliegen vliegensvlug vliegende vliegensvlugge vliegen vliegensvlug vliegende vliegensvlugge vliegen achterna," If behind fast flying quick flies fast flying quick flies are flying, then fast flying quick flies are flying behind fast flying quick flies"
Dutch tongbrekers,Ulliede gullie d'n ullieën ôk?, Do you oil yours too? Dutch: Olieën jullie die van jullie ook?
Dutch tongbrekers,"Als een potvis in een pispot pist, heb je een pispot vol potvispis."," When a spermwhale pisses into a potty, you have a potty full of spermwhale piss."
Dutch tongbrekers,Gedroogstoomde Noord-Poolse scholkoolstoofschotel, non-existing stew originating from the North of Poland consisting of dry-steamed plaice and cabbage
Dutch tongbrekers,avonturen in avonduren, night time adventures
Dutch tongbrekers,"Als jouw tekkel mijn tekkel tackelt, tackelt mijn tekkel jouw tekkel terug."," If your dachshund tackles my dachshund, my dachshund will tackle your dachshund back."
Dutch tongbrekers,Als echtparen echt paren hebben echtgenoten echt genoten.," If a married couple really make love, then a married couple really enjoys itself."
Dutch tongbrekers,Ping en Pong speelden pingpong. Ping pingpongde de pingpongbal naar Pong en Pong pingpongde de pingpongbal naar Ping., Ping and Pong played ping-pong. Ping ping-ponged the ping-pong ball close to Pong and Pong ping-ponged the ping-pong ball close to Ping.
Dutch tongbrekers,Kriegelig kocht Krelis kilo's kruimige krieltjes., Annoid Krelis bought kilos of crumb potatoes
Dutch tongbrekers,Een pet met een platte klep is een platte kleppet., A cap with a flat sunshield is a flat sunshield cap.
Dutch tongbrekers,Nelli plaatst op 'n parterretrap 'n pot staalpillen., Nelli places a jar of pills on the stairway.
Dutch tongbrekers,Gooi geen groene groenten in de grote gracht., Don't throw green vegetables in the big canal.
Dutch tongbrekers,Gisteren heb ik achtentachtig kacheltjes verkocht., Yesterday I sold eighty-eight small tiles.
Dutch tongbrekers,Als zagen zagen zagen zagen zagen zagen zagen zagen.," If saws were seeing saws sawing, then saws would see saws sawing"
Dutch tongbrekers,Haarlemmermeerpolderstraatlantaarnopstekersverenigingscontributieophalersinstructieboekjesontwerpersinrichting, Institute for the designers of instruction books for subscription collectors of the union of Haarlemmemeerpolder street lamp lighters.
Dutch tongbrekers,"Kapper Knap, de knappe kapper, knipt en kapt heel knap, maar de knecht van kapper Knap, de knappe kapper, knipt en kapt nog knapper dan kapper Knap, de knappe kapper."," Hairdresser Knap, the smart hairdresser, cuts and does hair smartly, but the mate of hairdresser Knap, the smart hairdresser, cuts and does hair more smartly than hairdresser Knap, the smart hairdresser, cuts and does hair."
Dutch tongbrekers,De postkoetskoetsier poetst de postkoets met postkoetspoets op een postkoetspoetsdoek.," The post-coach coachman polished the post-coach with post-coach polish on a post-coach polishing cloth.
"
Dutch tongbrekers,De whisky-mixer mixt de mix-whisky in de whisky-mixer., The whiskey mixer mixes the mixed whiskey in whiskey mixer.
Dutch tongbrekers,Achtentachtig prachtige grachten., Eighty-eight beautiful canals.
Dutch tongbrekers,Mijn vader heeft haar op zijn borst., My father has hair on his chest.
Dutch tongbrekers,Papa bukt zich en pakt de platte blauwe bakpan., Dad bends over and takes the flat blue baking pot.
Dutch tongbrekers,Jeukt jouw jeukende neus ook zo als mijn jeukende neus jeukt?, Is your itching nose itching like my itching nose is itching?
Dutch tongbrekers,Achtentachtig achterdochtige doktersdochters, Eighty-eight suspicious doctor's daughters
Dutch tongbrekers,Als achter vliegen vliegen vliegen vliegen vliegen vliegen achterna., When flies fly after flies flies fly after flies.
Dutch tongbrekers,"Ik zag twee vliegen vliegen, toen kwam er een bij bij, ze vlogen onder de deur deur, en over de weg weg."," I saw two flies fly, a bee joined them, they flew under the door, over the path away."
Dutch tongbrekers,Zeeëend, Sea duck (Zee=Sea en Eend=Duck)
Dutch tongbrekers,"Leentje leerde Lotje lopen op de lange Lindelaan.
Maar toen Lotje niet wilde lopen liet Leentje Lotje staan."," Leentje tried to teach Lotje to walk in the long Limetree Avenue But as Lotje didn't want to walk, Leentje left Lotje where she stood."
Dutch tongbrekers,Angstschreeuw, cry because of fear
Dutch tongbrekers,zachtstschrijdend, walking most silently
Dutch tongbrekers,koeienuier, cow's udder
Dutch tongbrekers,Ik zou jou wel eens hebben willen zien durven blijven staan kijken!, I would have liked to see you dare and remain standing and looking!
Dutch tongbrekers,Gezondheidsherstellingsmiddelentezamenmengingskundige, pharmacist.
Dutch tongbrekers,Hottentottententenbouwtentoonstellingsterreinaf- sluitingsmaterialenvoorraadsverzendingskosten- berekeningsstatenadministratieboekhoudkundige, the bookkeeper of the administration of the tables which show an overview of the costs of calculation of transportation of the stock of materials that should lock (close) the terrain where the exhibition of tent building of the Hottentots was being organised
Dutch tongbrekers,Staat vandaag advocaattaart op de kaart? Nee. Pas in maart staat advocaattaart op de kaart., Is there eggnoggcake on the menu today? No. Eggnoggcake won't be on the menu 'til march.
Dutch tongbrekers,Apen apen apen altijd na., Monkeys always copy other monkeys
Dutch tongbrekers,"Er waren eens twee nachtwachten, een voor-middernacht-nachtwacht en een na-middernacht-nachtwacht.  De voor-middernacht-nachtwacht zei tegen de na-middernacht-nachtwacht: ""Als jij de voor-middernacht-nachtwacht waakt, waak ik de na-middernacht-nachtwacht."" ""oke"" zei de na-middernacht-nachtwacht tegen de voor-middernacht-nachtwacht  ""Ik waak de voor-middernacht-nachtwacht en dan waak jij de na-middernacht-nachtwacht.""  Zo kwam het dat de voor-middernacht-nachtwacht de na-middernacht-nachtwacht waakte  en de na-middernacht-nachtwacht de voor-middernacht-nachtwacht waakte."," There once were two nightwatchmen, a before-midnight-nightwatchman and an after-midnight-nightwatchman. The before-midnight-nightwtchman said to the after-midnight-nightwatchman: ""If you take the before-midnight-nightwatch, I'll take the after-midnight-nighttwatch."" ""Okay"" said the after-midnight-nightwatchman to the before-midnight-nightwatchman ""I'll take the before-midnight-nightwatch en then you take the after-midnight-nightwatch."" and so it happened that the before-midnight-nightwatchman took the after-midnight-nightwatch and the after-midnight-nightwatchman took the before-midnight-nightwatch."
Dutch tongbrekers,Koetspoets koop je in de postkoetskoetspoetswinkel, Mail carriages you can buy in a shop that sells mail carriages.
Dutch tongbrekers,Als vliegen achter vliegen vliegen vliegen vliegen vliegensvlug.," If flies fly behind flies, flies fly very fast."
Dutch tongbrekers,"De venter ging naar Deventer, toen was de vent er.", The salesmen went to Deventer and then man was there.
Dutch tongbrekers,Jan Janssens zal s'avonds Sjakie slapen leggen., Jan Janssens will lay Sjakie to sleep in the evening.
Dutch tongbrekers,De koetsier poetst de postkoets met de postkoetspoets., The mail coach driver is cleaning the mail coach with the mail coach cleaner.
Dutch tongbrekers,De knecht snijdt recht en de meid snijdt scheef., The mate cut straight and the maid cut crooked.
Dutch tongbrekers,Zy lieten my naar Hinnelopen lopen terwyl ik naar Wou wou., They let me walk to Hinnelopen although I wanted to go to Wou.
Dutch tongbrekers,Achtentachtig kacheltjes., Eighty eight little stoves.
Dutch tongbrekers,Wij wijze wasvrouwen wilden weer wassen wanneer wij wisten waar weer warm water was., Wir weiße Waschfrauen wollten wieder waschen wenn wir wüßten wo wieder warmes Wasser wäre.
Dutch tongbrekers,Wij willen Willem weg. Wil Willem wijzer worden wij willen Willem weer., We want get rid off Willem. If Willem wants to become smarter we want to get Willem back.
Dutch tongbrekers,"To en Tom aten tomaten, Tom at en To vrat."," To and Tom ate tomatos, Tom ate and To stuffed herself. German: To und Tom aßen Tomaten, Tom aß und To fraß."
Dutch tongbrekers,Ingele mingele mangele motje kaatse kietse kotje more?, Nonsensical nursery rhyme
Dutch tongbrekers,Achter grootmoeders hutje groeien zeven krootjes op een klutje., Behind grandmother's little hut seven beetroots grow very close together.
Dutch tongbrekers,Wie weet waar Willem Wever woont? Willem Wever woont wijd weg. Wie weet wat Willem Wever weeft? Willem Wever weeft witte wollen winterwanten., Who knows where Willem Wever lives? Willem Wever lives far from here. Who knows what Willem Wever is weaving? Willem Wever is weaving white woollen winter mittens!
Dutch tongbrekers,"Zeven zwarte Zomergemse zangers zwommen zomaar zeven zomerse zondagen zonder zwembroek. ""Zij zijn zeker zot"" zei Zwarte Zulma, ""zomaar zwemmen zonder zwembroek, ze zullen zeker ziek zijn""."," German: Sieben schwarze Sänger aus Zomergem schwommen ohne weiteres sieben sommerliche Sonntage ohne Schwimmhose.  ""Sie sind gewiß/sicherlich töricht/verrückt"" sagte Schwarze Zulma, ""ohne weiteres schwimmen ohne Schwimmhose, sie werden sicher krank werden."
Dutch tongbrekers,"Frans zei tegen Frans in het Frans: ""Is Frans in het Frans Frans?""  ""Nee"", zei Frans tegen Frans in het Frans, ""Frans in het Frans is niet Frans, Frans in het Frans is François."," Frans said in French to Frans: ""Is Frans Frans in French?"" ""No"", said Frans to Frans in French, ""Frans in French is not Frans, Frans in French is François."
Dutch tongbrekers,Ik mix whisky in de whisky mixer., I mix whisky in the whisky mixer.
Dutch tongbrekers,Wie niets weet en weet dat hij niets weet weet veel meer dan iemand die niets weet en niet weet dat hij niets weet., The one who doesn't know anything and knows that he doesn't know anything knows a lot more than the one who doesn't know anything and doesn't know that he doesn't know anything.
Dutch tongbrekers,Onder de afwas viel de asbak in de afwasbak., While doing the dishes the ash-tray fell into the sink.
Dutch tongbrekers,Ik zag de zon in de Zuiderzee zinken., I saw the sun sink into the Zuiderzee (South Sea).
Dutch tongbrekers,De knappe knecht van de knappe kapper knipt en kapt nog knapper dan de knappe kapper knipt en kapt., The smart mate of the smart hairdresser cuts and does hair in an even smarter way than the smart hairdresser cuts and does hair.
Dutch tongbrekers,"De knappe kapper kapt knap, maar de knecht van de knappe kapper kapt knapper dan de knappe kapper kapt."," The smart hairdresser does hair smartly, but the mate of the smart hairdresser does hair more smartly than the smart hairdresser does hair."
Dutch tongbrekers,De koetsier poetst de wielen van de postkoets., The driver is cleaning the wheels of the post carriage.
Dutch tongbrekers,De kat krabt de krullen van de trap., The cat scratches the curls from the steps.
Dutch tongbrekers,"Wat was was eer, was was was? Eer was was was, was was is."," What was wax/""was"" before wax/""was"" was wax/""was""? Before wax/""was"" was wax/""was"", wax/""was"" was ""is""."
Dutch tongbrekers,Hoor de kleine klompjes klepperen op de klinkers., Hear the small wooden shoes click on the clinkers.
Dutch tongbrekers,De meid sneed zeven scheve sneden brood., The maidservant cut seven crooked slices of bread.
Dutch tongbrekers,Slimme Sjaantje sloeg de slome slager., Clever Sjaantje hit the lazy butcher.
Dutch tongbrekers,De koetsier poetst de postkoets met koetspoets., The driver is cleaning the post carriage with carriage cleaner. (Le cocher nettoie la calèche avec un produit pour calèche.)
Dutch tongbrekers,De vlieg en het paard zagen het vliegende paard., The fly and the horse saw the flying horse.
Dutch tongbrekers,"Er was eens een meisje, dat heette Barbara. Barbara had een groentenwinkel en verkocht rabarber. Daarom noemden alle mensen dat meisje: Rabarberbarbara. Later begon Barbara een cafe met een bar. Op het raam stond: Rabarberbarbarabar. Daar kwamen wilde mannen op bezoek, echte barbaren: de Rabarberbarbarabarbarbaren. O, wat hadden die mannen lange baarden! Die baarden noemden ze: Rabarberbarbarabarbarbarenbaarden. En de barbier die die lange baarden moest knippen was de: Rabarberbarbarabarbarbarenbaardenbarbier!"," There was once a girl called Barbara.  Barbara had a greengrocery, and she sold rhubarb. Therefore everyone called her Rhubarb Barbara.  Later on she opened a cafe with a bar. It was written on the window: Rhubarb Barbara's Bar. Some wild men, real barbarians, came to visit: the Rhubarb Barbara's Bar Barbarians. Oh, what long beards those men had! They called the beards Rhubarb Barbara's Bar Barbarians' Beards. And the barber who had to trim the beards was the Rhubarb Barbara's Bar Barbarians' Beard
Barber!"
Dutch tongbrekers,Peist aleer je doende ziet en doende peist ton nog.," Think before acting, while acting still think."
Dutch tongbrekers,Wie weet waar Willem Wever woont? Willem Wever woont in Westwoud. Wie weet wat Willem Wever weeft? Willem Wever weeft warme wollen witte winterwanden., Who knows where Willem Wever lives? Willem Wever lives in Westwoud. Who knows what Willem Wever weaves? Willem Wever weaves warm woollen winter mittens.
Dutch tongbrekers,kraaieneieren, crow's eggs
Dutch tongbrekers,Er is e rut ut 't us en oe't rent 't rent er en.," There is a window on the house, and if it rains, it rains in it. Dutch: Er is en ruit uit het huis en als het regent regent het binnen."
Dutch tongbrekers,"Coppens klopt zijn knoppen. Gelijk Coppens zijn knoppen klopt, klopt Coppens zijn knoppen."," (literally) Coppens hits his buttons. Like Coppens his buttons hits, hits Coppens his buttons.
"
Dutch tongbrekers,Kaak kaak nen twiedaaker.," Look look a biplane. Dutch: Kijk kijk een tweedekker.
"
Dutch tongbrekers,Toet toet te tit tat tut es.," Yes yes it is time that it is finished. Dutch: Ja ja het is tijd dat het gedaan is.
"
Dutch tongbrekers,Driehonderd drieendertig roodgerokte en bruingebroekte ruitertjes rijden ron de wereldberoemde berg Ararat., Threehundred and thirtythree men on horseback are riding around the world famous mountain Ararat.
Dutch tongbrekers,Drie dikke domme dames dachten dat dromedarissen dagelijks drieduizend deciliter druivensap dronken., Three fat ladies thought that dromedaries drank three-thousand deciliter of grapejuice daily.
Dutch tongbrekers,Schild en vriend, shield and friend
Dutch tongbrekers,"D'er is een ruut' uut t' uus en o't rint, rint 't 'r in."," There's a window missing in the house and if it rains, it rains inside. Dutch: Er is een ruit uit het huis en als het regent, regent het erin.

"
Dutch tongbrekers,Lekkerkerkerkerkerker, The bay window of the church of Lekkerkerk
Dutch tongbrekers,Hottentottensoldatententententoonstellingsterrien, Hottentot soldier's tent's display area
Dutch tongbrekers,De slome slak eet slappe sla., The lazy slug eats flabby lettuce.
Dutch tongbrekers,De postkoetskoetsier poetst de postkoets met postkoetspoetspommade., The post-coach coachman is polishing the post-coach with post-coach polish.
Dutch tongbrekers,Ik wil graag de gegrilde gerechten krijgen., I would very much like to take the grilled dishes.
Dutch tongbrekers,Lachgas," Nitrous oxide, commonly known as laughing gas; It's the only Dutch word with ch+g combination, both pronounced the same way."
Dutch tongbrekers,"Toen moeder aan de was was, kwam er een bij bij, die vloog onder de deur 'deur', over de weg weg."," When mother was doing the laundry, a bee joined (her), which (then) flew away, underneath the door, across the road."
Dutch tongbrekers,"Ik ging de hinderlopen lopen, maar kwam in Utrecht terecht. Toen ben ik naar Goedereede gerede en zag daar zeven vliegen vliegen, er was geen één bij bij."," I went on a hurdle race, but ended in Utrecht, then I drove to Goedereede (place in the south of Holland). There I saw seven flies fly, but there wasn't a honeybee there."
Dutch tongbrekers,"Toen de tackelende tekkel een tekkel tackelde, tackelde de getackelde tekkel de tackelende tekkel terug."," When the tackling dachshund tackled a dachshund, the tackled dachshund tackled the tackling dachshund back."
Dutch tongbrekers,Ze lopen in Diest rond. Ze lopen in Diest rond. Ze lopen in Diest rond. ..., They walk in (the city) of Diest (Belgium).
Dutch tongbrekers,"Flesje Friesche Vlag, Flesje Friesche Vlag, Flesje Friesche Vlag, ...", Bottle of Friesche Vlag (a brand of milkproducts)
Dutch tongbrekers,"Wat een weer weer, ik waai bijna van de weg weg, ik kon beter in het magazijn zijn, pakken pakken, ik zie een heleboel vliegen vliegen maar er is geen een bij bij."," What a weather, I almost fly of the road, I could better be in the storage, packing boxes, I see a lot of flying flies but there is no bee there."
Dutch tongbrekers,"Wat was was voordat was was was?
 Voordat was was was, was was is."," What was 'was' before 'was' became 'was'? Before 'was' was 'was', 'was' was 'is'."
Dutch tongbrekers,"Wat was was voordat was was was? 
Voordat was was was, was was schoon."," What was laundry before laundry was laundry? Before laundy was laundry, it was clean."
Dutch tongbrekers,"Als kraaiende kraaien naar kraaiende kraaien kraaien, kraaien kraaiende kraaien naar kraaiende kraaien."," if crowing crows are crowing to crowing crows, crowing crows are crowing to crowing crows"
Dutch tongbrekers,Het kan voorkomen dat een meisje met een mooi voorkomen moet voorkomen dat ze bij de rechter moet voorkomen., It can occurr that a girl with a nice look must prevent having to appear in court.
Dutch tongbrekers,Hottentottententententoonstellinginkomkaartjescontroleursgaatjesknippersmachientjeslintje,
Dutch tongbrekers,"""'t zou me zo een zorg zijn""  zou m'n zuster Sientje zeggen, ""als ik zeven zwarte zwanen in de Zuiderzee zag zwemmen."""," ""I couldn't care less,"" my sister Sientje would say, ""if I saw seven black swans swim on the Zuiderzee""."
Dutch tongbrekers,zeeëendeëieren, sea duck eggs
Dutch tongbrekers,Rode rozen ruiken lekker., Red roses smell nice.
Dutch tongbrekers,Max mixt whiskey in de whiskeymixer., Max mixed whiskey in the wiskeymixer
Dutch tongbrekers,"Als de kakkerlak in de kattenbak kakt, zit de kattenbak vol met kakkerlakkenkak."," If the cockroach in the cat box craps, the cat box sits (is) full of cockroach crap."
Dutch tongbrekers,"Hottentottenfabriekslegertentententoonstellings-
ruimtevergaderingszaalopruimingsdienstenuniform-
petjessymbolenfabricageetikettendrukpersopzichters-
teennagel", the toenail of the supervisor of the printing-press which prints the manufacturelabels of the symbols at the uniformcaps of the clean-upservice of the meating-hall of the show-room of the factory-army-tents made by the brand Hottentotten
Dutch tongbrekers,Koortsmeetsysteemstrook, system strip for measuring flu
Dutch tongbrekers,Ik had je wel eens hebben willen zien durven blijven staan kijken., I would like to see you once dare to stand to stand watch.
Dutch tongbrekers,Drie dikke dames draaiden door de draaideur., Three fat ladies pushed through the revolving door.
Dutch tongbrekers,Mama laadde de marmalade laden in de marmaladeladenladenkast., Mother is loading the marmelade trays in the marmelade tray cellar.
Dutch tongbrekers,'t Klee knap kapliënke, The handsome little chaplain
Dutch tongbrekers,Als apen apen na-apen apen apen apen na.," When monkeys/apes imitate monkeys/apes, monkeys/apes imitate monkeys/apes."
Dutch tongbrekers,Armseinen zijn seinen om te seinen waar andere seinen kapot zijn., Armsignals are signals to signal that other signals are broken.
Dutch tongbrekers,De brouwer brouwt bruin bier voor bruid en bruidegom., The brewer brews brown beer for bride and groom.
Dutch tongbrekers,Bram bindt brede banden blik om de breekbare brugleuning tot bijna bij Breda., Bram ties wide pieces of iron on the fragile bridge's banisters nearly up to Breda (a town in Holland).
Dutch tongbrekers,"Een nietmachine niet, maar een naaimachine niet."," A stapler staples, but a sowing machine doesn't."
Dutch tongbrekers,Kippen met kapotgepikte kippekoppen., Chicken with beaten-up pecked chicken heads.
Dutch tongbrekers,"Liesje leerde Lotje lopen langs de lange Lindenlaan.
Maar toen Lotje niet wou lopen, liet Liesje Lotje staan."," Liesje taught Lotje to walk along the long Limetree Lane. But when Lotje didn't want to walk, Liesje left Lotje where she stood."
Dutch tongbrekers,Knaap de knappe kapper kapt knap. Maar de knecht van Knaap de knappe kapper knipt en kapt knapper dan Knaap de knappe kapper knipt en kapt., Knaap the handsome barber cuts well. But the servant of Knaap the handsome barber cuts and snips better than Knaap the handsome barber cuts and snips.
Dutch tongbrekers,"Ik kan me niet begriepen dat je het woord begriepen niet begriepen kunt. Als het woord begriepen onbegriepelijk was, kon ik me begriepen dat je het woord begriepen niet begriepen kon, maar nou het woord begriepen begriepelijk is, kan ik me niet begriepen dat je het woord begriepen niet begriepen kunt. Begriep je 't?"," I can't understand that you can't understand the word ""understand"". If the word ""understand"" would have been ununderstandable, than I could understand that you couldn't understand the word ""understand"". But as the word ""understand"" is understandable I can't understand that you can't understand the word ""understand"". Do you understand?"
Dutch tongbrekers,Sluipertje het slimme slakje sleept een sleetje over het slijk. Nu sliert dat slimme Sluipertje met zijn slofjes van de slappe dijk.,
Dutch tongbrekers,Die Didi die dieet die Didi die eet niet die Didi die eet die Didi die dieet niet.," The Didi (girl's name) who eats is not on a diet, the Didi who does not eat is on a diet."
Dutch tongbrekers,"Mensen, mensen wat een mensen zeiden de mensen tegen de mensen toen de mensen de mensen zagen staan."," Oh man, oh man such a lot of people, the people said to the people, when the people saw the other people."
Dutch tongbrekers,"Jongens, jongens wat een jongens, zeiden de jongens tegen de jongens toen de jongens de jongens zagen staan."," O boy o boy, such a lot of boys, the boys said to the boys, when the boys saw the other boys."
Dutch tongbrekers,In het kleine klooster klotsten drie kleine krootjes in een kom met soep., In the small monastery were three small beetroots splashing in a bowl of soup.
Dutch tongbrekers,Vier vunzige vrijers verijdelden vrijdag vrij vroeg een vrijpartij voor vijf vrije vrijdagen vrij., Four filthy lovers foiled a lovemaking party Friday rather early for five free Fridays off.
Dutch tongbrekers,Ik heb de zon in de zee zien zakken., i've seen the sun sink in sea.
Dutch tongbrekers,De bedrukte drukker's drukker drukt niet meer., The sad printer's (person) printer (machine) no longer prints
Dutch tongbrekers,Wij walen wezen willen witte wollen wanten wassen wisten wij waar warm water was., We Walloon orphans want to wash white woolen mittens if we knew where there was warm water.
Dutch tongbrekers,Zeven zwarte zwanen zwommen in de zilte Zuiderzee., Seven black swans swam in the salty Zuiderzee.
Dutch tongbrekers,Vervloekte vloek-broek, Damned damn-trousers
Dutch tongbrekers,"Er zwommen zeven zwanen al in de Zuiderzee, ze konden de zon in zee zien zinken en dat was een zalig gezicht zeg."," Seven swans swam in the Zuiderzee (southern sea), they could see the sun sink and that was a beautiful sight."
Dutch tongbrekers,"""Mooie zang! 'N alt sist lang na,"" zei oom."," ""Nice singing! An alt hisses for a long time,"" said uncle."
Dutch tongbrekers,Ik wil voorkomen dat iemand met zo'n voorkomen voor moet komen., I want to prevent that someone with such a presence has to appear (in court).
Dutch tongbrekers,"Die vrouw is professioneel ingesteld, aangesteld als docente en ze is regelmatig ongesteld. Ze verdient goed, ze is welgesteld."," That woman is professional, employed as a teacher and she is menstruating regularly. She's paid well, she's wealthy."
Dutch tongbrekers,"In Duitsland is een plein ontmoft, want er is een mijn ontploft."," In Germany a square's been dekrauted, because a mine has exploded."
Dutch tongbrekers,Wil Wilfried friet? Wilfried wil friet!, Does Wilfried want fries? Wilfried wants fries!
Dutch tongbrekers,Heeft Roos roos in haar haar?, Does Rose have dandruff in her hair?
Dutch tongbrekers,vliegtuigenbandenventieldopjesfabrieksdirecteursassistentetakenschema, airplane tyres airvalve cap factory president's assistant's task schedule
Emilian and Romagnol,T'hai tot un téint in ton tách T'hai un tách tot unt., You have paint in your sole. You have your sole all stained.
Emilian and Romagnol,Té t at î tótta ténta e t at î tótt'ónta int un tâc., Italian: Tu ti sei tutta tinta e ti sei tutta unta in un tacco.
Emilian and Romagnol,Ch'âs léssi ch'l à cl óss!, Italian: Che assi liscie che ha quell'uscio!
Emilian and Romagnol,"Mo che bî cavî ch'avî! Vlîv ch'a v i chèva vî, chi bî cavî ch'avî?"," Italian: Ma che bei capelli che avete! Volete che ve li tolga, quei bei capelli che avete?"
Emilian and Romagnol,Guèrda c'la vacca là c'la và in c'la ca' là., Look at that cow that's going in that house.
Emilian and Romagnol,Li galini li gà ligà li gambi., The hens have tied up legs.
English,"Peter Piper picked a peck of pickled peppers. A peck of pickled peppers Peter Piper picked. If Peter Piper picked a peck of pickled peppers, Where's the peck of pickled peppers Peter Piper picked?",
English,"I saw Susie sitting in a shoe shine shop. 
Where she sits she shines, and where she shines she sits.",
English,"How many boards 
Could the Mongols hoard 
If the Mongol hordes got bored?",
English,How can a clam cram in a clean cream can?,
English,Send toast to ten tense stout saints' ten tall tents.,
English,"Denise sees the fleece, Denise sees the fleas. At least Denise could sneeze and feed and freeze the fleas.",
English,Coy knows pseudonoise codes.,
English,"Sheena leads, Sheila needs.",
English,The thirty-three thieves thought that they thrilled the throne throughout Thursday.,
English,"Something in a thirty-acre thermal thicket of thorns and thistles thumped and thundered threatening the three-D thoughts of Matthew the thug - although, theatrically, it was only the thirteen-thousand thistles and thorns through the underneath of his thigh that the thirty year old thug thought of that morning.",
English,Can you can a can as a canner can can a can?,
English,Seth at Sainsbury's sells thick socks.,
English,"You cuss, I cuss, we all cuss, for asparagus!",
English,Roberta ran rings around the Roman ruins.,
English,Clean clams crammed in clean cans.,
English,Six sick hicks nick six slick bricks with picks and sticks.,
